gatewayFid,MIDActual,vampMid,mastercardMid,gateway,brand,currency,RDR Merchant Name,DBA,BIN,CAID,IsActive,isCrossBorder,processWallet,Duplicate ?
play_store,EXCLUDED,EXCLUDED,play_store,play_store,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,EXCLUDED,FALSE,FALSE,FALSE,1
adyen-usd-pango-armor,Adyen - Pango Armor - USD,Adyen - Pango Armor,Adyen - Pango Armor - USD,Adyen,Pango Armor,USD,,,,,FALSE,FALSE,TRUE,1
adyen-usd-pango-fortress,Adyen - Pango Fortress - USD,Adyen_PangoFortress,Adyen_PangoFortress_US,Adyen,Pango Fortress,USD,,,,,FALSE,FALSE,TRUE,1
adyen-usd-pango-sentinel,Adyen - Pango Sentinel - USD,Adyen_PangoSentinel,Adyen_PangoSentinel_US,Adyen,Pango Sentinel,USD,,,,,FALSE,FALSE,TRUE,1
adyen-usd-pango-shield,Adyen - Pango Shield - USD,Adyen - Pango Shield,Adyen - Pango Shield - USD,Adyen,Pango Shield,USD,,,,,FALSE,FALSE,TRUE,1
adyen-aud-pcp,Adyen - PC Protect - AUD,Adyen_PCProtect,Adyen_PCProtect_US,Adyen,PC Protect,AUD,,,,,FALSE,FALSE,TRUE,1
adyen-cad-pcp,Adyen - PC Protect - CAD,Adyen_PCProtect,Adyen_PCProtect_US,Adyen,PC Protect,CAD,,,,,FALSE,FALSE,TRUE,1
adyen-eur-pcp,Adyen - PC Protect - EUR,Adyen_PCProtect,Adyen_PCProtect_EMEA,Adyen,PC Protect,EUR,PCProtect.com - 487530 - 487530001668557,PCProtect.com,487530,4.88E+14,FALSE,FALSE,TRUE,1
adyen-gbp-pcp,Adyen - PC Protect - GBP,Adyen_PCProtect,Adyen_PCProtect_EMEA,Adyen,PC Protect,GBP,PCProtect.com - 487530 - 487530001668557,PCProtect.com,487530,4.88E+14,FALSE,FALSE,TRUE,1
adyen-usd-pcp,Adyen - PC Protect - USD,Adyen_PCProtect,Adyen_PCProtect_US,Adyen,PC Protect,USD,,,479338,4.79E+14,FALSE,FALSE,TRUE,1
authorize-usd-pcp,Authorize - PC Protect - USD,Authorize - PC Protect,Authorize - PC Protect,Authorize,PC Protect,USD,,,,,FALSE,FALSE,FALSE,1
bancard-usd-pcp,Bancard - PC Protect - USD,Bancard - PC Protect,Bancard - PC Protect - USD,Bancard,PC Protect,USD,,,,,FALSE,FALSE,FALSE,1
braintree-aud-pcp,Braintree - PC Protect - AUD,Braintree USA - PC Protect,Braintree USA - PC Protect AUD,Braintree,PC Protect,AUD,,,,,FALSE,FALSE,TRUE,1
braintree-cad-pcp,Braintree - PC Protect - CAD,Braintree USA - PC Protect,Braintree USA - PC Protect CAD,Braintree,PC Protect,CAD,,,,,FALSE,FALSE,TRUE,1
